balance,annual_interest_rate,interest_rate_type,repayment_term,monthly_payment,account_update_date,account_type_id,users_id,,,
198400.03,0.02,Float,,,1/3/2020 20:43,13,189,,,
142459.75,2.12,Fixed,,,1/5/2020 10:24,13,430,,,
160465.73,0.67,Fixed,,,1/6/2020 21:50,13,45,,,
4120.02,,,,,1/7/2020 4:06,12,671,,,
4458.51,3.51,Float,42,96,1/8/2020 22:33,3,720,,,
43187.75,3.35,Float,221,11,1/8/2020 23:23,4,485,,,
193097.59,0.02,Float,,,1/9/2020 3:53,13,225,,,
57421.29,6.53,Float,39,10,1/9/2020 12:50,4,876,,,
207499,0.2,Fixed,,,1/9/2020 15:50,13,829,,,
7646.53,,,,,1/10/2020 3:32,12,154,,,
159088.72,1.55,Float,,,1/11/2020 6:17,13,855,,,
4786.21,,,,,1/11/2020 8:14,12,590,,,
150165.88,2.28,Float,,,1/11/2020 12:54,13,268,,,
1000.75,,,,,1/12/2020 5:16,12,430,,,
822.11,11.22,Fixed,,,1/13/2020 5:39,6,804,,,
41051.33,,,,,1/13/2020 17:02,7,857,,,
104456.19,8.19,Fixed,25,80,1/15/2020 15:58,4,921,,,
2936.27,3.2,Fixed,33,58,1/15/2020 15:58,5,921,,,
109117.72,7.08,Fixed,43,79,1/16/2020 13:19,4,216,,,
125929.4,1.82,Fixed,,,1/16/2020 19:21,13,682,,,
3374.78,,,,,1/16/2020 23:44,12,126,,,
8258.53,,,,,1/17/2020 11:56,12,143,,,
285.7,,,,,1/17/2020 12:47,12,901,,,
9487.15,12.05,Float,,,1/17/2020 16:46,6,5,,,
10908.22,15.88,Fixed,,,1/17/2020 19:40,6,801,,,
6253.61,12.43,Fixed,,,1/17/2020 22:15,6,860,,,
9791.86,17.42,Float,,,1/17/2020 22:17,6,71,,,
4150.09,,,,,1/18/2020 2:02,7,198,,,
74959.79,,,,,1/18/2020 4:52,10,67,,,
"242,312.13",1.15,Float,101,38,1/18/2020 8:40,2,529,,,
56156.38,,,,,1/18/2020 15:43,7,502,,,
103349.86,,,,,1/18/2020 22:03,7,310,,,
182709.61,1.15,Float,,,1/19/2020 6:23,13,813,,,
26292.3,,,,,1/20/2020 8:37,11,742,,,
7012.04,,,,,1/20/2020 13:15,12,608,,,
